"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"3",1,"ALPHABET CITY            ","07  RENTALS - WALKUP APARTMENTS             ","2B",373,16,NA,"C1","326 EAST 4TH   STREET                    ","            ",10009,10,0,10," 2,204 "," 8,625 ",1899,2,"C1"," 20,000,000 ","11/17/2015",2e+07,8625,2204,0
"5",1,"ALPHABET CITY            ","07  RENTALS - WALKUP APARTMENTS             ","2",377,2,NA,"C7","112 AVENUE C                             ","            ",10009,22,3,25," 4,510 "," 19,830 ",1900,2,"C7"," 16,700,000 ","9/10/2015",16700000,19830,4510,0
"8",1,"ALPHABET CITY            ","07  RENTALS - WALKUP APARTMENTS             ","2",387,119,NA,"C7","620 EAST 6TH   STREET                    ","            ",10009,22,2,24," 3,445 "," 13,546 ",1920,2,"C7"," 11,250,000 ","12/9/2015",11250000,13546,3445,0
"11",1,"ALPHABET CITY            ","07  RENTALS - WALKUP APARTMENTS             ","2B",389,53,NA,"C1","615 EAST 6TH   STREET                    ","            ",10009,10,0,10," 2,271 "," 7,860 ",1939,2,"C1"," 6,350,000 ","4/20/2016",6350000,7860,2271,0
"13",1,"ALPHABET CITY            ","07  RENTALS - WALKUP APARTMENTS             ","2",398,43,NA,"C7","190 EAST 2ND   STREET                    ","            ",10009,28,4,32," 5,088 "," 20,994 ",1900,2,"C7"," 17,000,000 ","10/2/2015",1.7e+07,20994,5088,0
"14",1,"ALPHABET CITY            ","07  RENTALS - WALKUP APARTMENTS             ","2",399,39,NA,"C7","197 EAST 3RD STREET                      ","            ",10009,16,1,17," 2,212 "," 7,803 ",1900,2,"C7"," 6,300,000 ","8/4/2016",6300000,7803,2212,0
"18",1,"ALPHABET CITY            ","07  RENTALS - WALKUP APARTMENTS             ","2B",401,27,NA,"C4","534 EAST 6TH   STREET                    ","            ",10009,8,1,9," 1,896 "," 5,876 ",1900,2,"C4"," 5,650,000 ","4/20/2016",5650000,5876,1896,0
"20",1,"ALPHABET CITY            ","07  RENTALS - WALKUP APARTMENTS             ","2B",404,41,NA,"C4","329 EAST 10TH   STREET                   ","            ",10009,10,0,10," 2,369 "," 7,100 ",1910,2,"C4"," 11,400,000 ","6/20/2016",11400000,7100,2369,0
"21",1,"ALPHABET CITY            ","07  RENTALS - WALKUP APARTMENTS             ","2",405,13,NA,"C7","510 EAST 12TH   STREET                   ","            ",10009,20,2,22," 2,581 "," 10,090 ",1920,2,"C7"," 5,200,000 ","9/10/2015",5200000,10090,2581,0
"22",1,"ALPHABET CITY            ","07  RENTALS - WALKUP APARTMENTS             ","2",405,15,NA,"C4","514 EAST 12TH   STREET                   ","            ",10009,20,0,20," 2,581 "," 9,730 ",1920,2,"C4"," 7,140,000 ","9/10/2015",7140000,9730,2581,0
"23",1,"ALPHABET CITY            ","07  RENTALS - WALKUP APARTMENTS             ","2B",406,1,NA,"C4","194 AVENUE A                             ","            ",10009,6,2,8," 1,486 "," 5,496 ",1910,2,"C4"," 16,750,000 ","11/4/2015",16750000,5496,1486,0
"178",1,"CHELSEA                  ","07  RENTALS - WALKUP APARTMENTS             ","2",719,72,NA,"C4","454 WEST 22ND   STREET                   ","            ",10011,16,0,16," 2,839 "," 9,480 ",1900,2,"C4"," 10,500,000 ","5/12/2016",10500000,9480,2839,0
